tag,patterns,responses
greeting,Hi,"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
greeting,Hey,"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
greeting,Is anyone there?,"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
greeting,Hi there,"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
greeting,Hello,"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
greeting,Hey there,"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
greeting,Howdy,"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
greeting,Hola,"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
greeting,Bonjour,"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
greeting,Konnichiwa,"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
greeting,Guten tag,"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
greeting,Ola,"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
morning,Good morning,"[""Good morning. I hope you had a good night's sleep. How are you feeling today? ""]"
afternoon,Good afternoon,['Good afternoon. How is your day going?']
evening,Good evening,['Good evening. How has your day been?']
night,Good night,"['Good night. Get some proper sleep', 'Good night. Sweet dreams.']"
goodbye,Bye,"['See you later.', 'Have a nice day.', 'Bye! Come back again.', ""I'll see you soon.""]"
goodbye,See you later,"['See you later.', 'Have a nice day.', 'Bye! Come back again.', ""I'll see you soon.""]"
goodbye,Goodbye,"['See you later.', 'Have a nice day.', 'Bye! Come back again.', ""I'll see you soon.""]"
goodbye,Au revoir,"['See you later.', 'Have a nice day.', 'Bye! Come back again.', ""I'll see you soon.""]"
goodbye,Sayonara,"['See you later.', 'Have a nice day.', 'Bye! Come back again.', ""I'll see you soon.""]"
goodbye,ok bye,"['See you later.', 'Have a nice day.', 'Bye! Come back again.', ""I'll see you soon.""]"
goodbye,Bye then,"['See you later.', 'Have a nice day.', 'Bye! Come back again.', ""I'll see you soon.""]"
goodbye,Fare thee well,"['See you later.', 'Have a nice day.', 'Bye! Come back again.', ""I'll see you soon.""]"
thanks,Thanks,"['Happy to help!', 'Any time!', 'My pleasure', ""You're most welcome!""]"
