,tag,patterns,responses
0,greeting,"['Hi', 'Hey', 'Is anyone there?', 'Hi there', 'Hello', 'Hey there', 'Howdy', 'Hola', 'Bonjour', 'Konnichiwa', 'Guten tag', 'Ola']","['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
1,morning,['Good morning'],"[""Good morning. I hope you had a good night's sleep. How are you feeling today? ""]"
2,afternoon,['Good afternoon'],['Good afternoon. How is your day going?']
3,evening,['Good evening'],['Good evening. How has your day been?']
4,night,['Good night'],"['Good night. Get some proper sleep', 'Good night. Sweet dreams.']"
5,goodbye,"['Bye', 'See you later', 'Goodbye', 'Au revoir', 'Sayonara', 'ok bye', 'Bye then', 'Fare thee well']","['See you later.', 'Have a nice day.', 'Bye! Come back again.', ""I'll see you soon.""]"
6,thanks,"['Thanks', 'Thank you', ""That's helpful"", 'Thanks for the help', 'Than you very much']","['Happy to help!', 'Any time!', 'My pleasure', ""You're most welcome!""]"
7,no-response,[''],"[""Sorry, I didn't understand you."", 'Please go on.', 'Not sure I understand that.', ""Please don't hesitate to talk to me.""]"
8,neutral-response,['nothing much'],['Oh I see. Do you want to talk about something?']
9,about,"['Who are you?', 'What are you?', 'Who you are?', 'Tell me more about yourself.', 'What is your name?', 'What should I call you?', ""What's your name?"", 'Tell me about yourself']","[""I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today"", ""I'm Pandora, a Therapeutic AI Assitant designed to assist you. Tell me about yourself."", ""I'm Pandora. I am a conversational agent designed to mimic a therapist. So how are you feeling today?"", 'You can call me Pandora.', ""I'm Pandora!"", 'Call me Pandora']"
10,skill,['What can you do?'],"[""I can provide general advice regarding anxiety and depression, answer questions related to mental health and make daily conversations. Do not consider me as a subsitute for an actual mental healthcare worker. Please seek help if you don't feel satisfied with me.""]"
11,creation,"['Who created you?', 'How were you made?', 'How were you created?']","['I was created by >.', 'I was trained on a text dataset using Deep Learning & Natural Language Processing techniques', 'The real question is: Who created you?']"
12,name,"['My name is ', 'I am name.', 'I go by ']","['Oh nice to meet you. Tell me how was your week?', 'Nice to meet you. So tell me. How do you feel today?', ""That's a great name. Tell me more about yourself.""]"
13,help,"['Could you help me?', 'give me a hand please', 'Can you help?', 'What can you do for me?', 'I need support', 'I need help', 'Support me please']","['Sure. Tell me how can i assist you', 'Tell me your problem so that i can assist you', 'Yes, sure. How can I help you?']"
14,sad,"['I am feeling lonely', 'I am so lonely', 'I feel down', 'I feel sad', 'I am sad', 'I feel so lonely', 'I feel empty', ""I don't have anyone""]","[""I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?"", ""I'm here for you. Could you tell me why you're feeling this way?"", 'Why do you think you feel this way?', 'How long have you been feeling this way?']"
15,stressed,"['I am so stressed out', 'I am so stressed', 'I feel stuck', 'I still feel stressed', 'I am so burned out']","['What do you think is causing this?', 'Take a deep breath and gather your thoughts. Go take a walk if possible. Stay hydrated', 'Give yourself a break. Go easy on yourself.', 'I am sorry to hear that. What is the reason behind this?']"
16,worthless,"['I feel so worthless.', 'No one likes me.', ""I can't do anything."", 'I am so useless', 'Nothing makes sense anymore']","[""It's only natural to feel this way. Tell me more. What else is on your mind?"", ""Let's discuss further why you're feeling this way."", 'I first want to let you know that you are not alone in your feelings and there is always someone there to help . you can always change your feelings and change your way of thinking by being open to trying to change.', 'i first want to let you know that you are not alone in your feelings and there is always someone there to help . you can always change your feelings and change your way of thinking by being open to trying to change.']"
17,depressed,"[""I can't take it anymore"", 'I am so depressed', ""I think i'm depressed."", 'I have depression']","[""It helps to talk about what's happening. You're going to be okay"", 'Talk to me. Tell me more. It helps if you open up yourself to someone else.', 'Sometimes when we are depressed, it is hard to care about anything. It can be hard to do the simplest of things. Give yourself time to heal.']"
18,happy,"['I feel great today.', 'I am happy.', 'I feel happy.', ""I'm good."", 'cheerful', ""I'm fine"", 'I feel ok']","[""That's geat to hear. I'm glad you're feeling this way."", ""Oh i see. That's great."", 'Did something happen which made you feel this way?']"
19,casual,"['Oh I see.', 'ok', 'okay', 'nice', 'Whatever', 'K', 'Fine', 'yeah', 'yes', 'no', 'not really']","[""Let's discuss further why you're feeling this way."", 'How were you feeling last week?', ""I'm listening. Please go on."", 'Tell me more', 'Can you elaborate on that?', 'Come Come elucidate your thoughts']"
20,anxious,"['I feel so anxious.', ""I'm so anxious because of ""]","[""Don't be hard on yourself. What's the reason behind this?"", 'Can you tell me more about this feeling?', 'I understand that it can be scary. Tell me more about it.', ""Don't let the little worries bring you down. What's the worse that can happen?""]"
